Scientific Name,Genus,Species,Subspecies,Variety,Author,Family,Order,Class,Common Names,Status,IUCN Category,GBIF ID,EOL ID,Total Images,Uploaded to Drive,Countries Found,Image Details (Name | Country | Date | Observer | URL)
Aa Rchb.f.,Aa,,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa mathewsii (Rchb.f.) Schltr.,Aa,mathewsii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa microtidis Schltr.,Aa,microtidis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa olivacea D. Trujillo,Aa,olivacea,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa paleacea (Kunth) Rchb.f.,Aa,paleacea,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa riobambae Schltr.,Aa,riobambae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa rosei Ames,Aa,rosei,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa sphaeroglossa Schltr.,Aa,sphaeroglossa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa tenebrosa C. M. Mart&iacute;n &amp; Scrocchi,Aa,tenebrosa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa trilobulata Schltr.,Aa,trilobulata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Aa weddelliana (Rchb.f.) Schltr.,Aa,weddelliana,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acampe Lindl.,Acampe,,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acampe carinata (Griff.) Panigrahi,Acampe,carinata,,,,,,,,,,,1136551,0,0,,Unknown | No date | Unknown observer | 
Acampe cephalotes Lindl.,Acampe,cephalotes,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acampe hulae Telepova,Acampe,hulae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acampe joiceyana (J. J. Sm.) Seidenf.,Acampe,joiceyana,,,,,,,,,,,1127513,0,0,,Unknown | No date | Unknown observer | 
Acampe ochracea (Lindl.) Hochr.,Acampe,ochracea,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acampe pachyglossa Rchb.f.,Acampe,pachyglossa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acampe praemorsa (Roxb.) Blatt. &amp; McCann,Acampe,praemorsa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acampe rigida (Buch.-Ham. ex Sm.) P. F. Hunt,Acampe,rigida,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium Blume,Acanthophippium,,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium bicolor Lindl.,Acanthophippium,bicolor,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium chrysoglossum Schltr.,Acanthophippium,chrysoglossum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium curtisii Rchb.f.,Acanthophippium,curtisii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium eburneum Kraenzl.,Acanthophippium,eburneum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium gougahense (Guillaumin) Seidenf.,Acanthophippium,gougahense,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium javanicum Blume,Acanthophippium,javanicum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium lilacinum J. J. Wood &amp; C. L. Chan,Acanthophippium,lilacinum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium mantinianum L. Linden &amp; Cogn.,Acanthophippium,mantinianum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium parviflorum Hassk.,Acanthophippium,parviflorum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium pictum Fukuy.,Acanthophippium,pictum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium splendidum J. J. Sm.,Acanthophippium,splendidum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium striatum Lindl.,Acanthophippium,striatum,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acanthophippium sylhetense Lindl.,Acanthophippium,sylhetense,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Achlydosa M. A. Clem. &amp; D. L. Jones,Achlydosa,,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Achlydosa M. A. Clem. & D. L. Jones,Achlydosa,M. A.,,,,,,,,,,9509258,,0,0,,Unknown | No date | Unknown observer | 
Achlydosa glandulosa (Schltr.) M. A. Clem. &amp; D. L. Jones,Achlydosa,glandulosa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Achlydosa glandulosa (Schltr.) M. A. Clem. & D. L. Jones,Achlydosa,glandulosa Schltr.,,,,,,,,,,2832361,49907893,0,0,,Unknown | No date | Unknown observer | 
Acianthera Scheidw.,Acianthera,,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera aberrans (Luer) Pupulin &amp; Bogar&iacute;n,Acianthera,aberrans,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera aculeata (Luer &amp; Hirtz) Luer,Acianthera,aculeata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera acuminatopetala (Samp.) Luer,Acianthera,acuminatopetala,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera adamantinensis (Brade) F. Barros,Acianthera,adamantinensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera adeodata P. Ortiz,Acianthera,adeodata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera adirii (Brade) Pridgeon &amp; M. W. Chase,Acianthera,adirii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera aechme (Luer) Pridgeon &amp; M. W. Chase,Acianthera,aechme,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera agathophylla (Rchb.f.) Pridgeon &amp; M. W. Chase,Acianthera,agathophylla,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera alainii (Dod) A. Doucette,Acianthera,alainii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera albiflora (Barb. Rodr.) Karremans,Acianthera,albiflora,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera albopurpurea (Kraenzl.) Chiron &amp; Van den Berg,Acianthera,albopurpurea,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera alpestris (Sw.) A. Doucette,Acianthera,alpestris,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera amandae Campacci &amp; C. R. M. Silva,Acianthera,amandae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera amaralii (Pabst) F. Barros &amp; L. R. S. Guim.,Acianthera,amaralii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera amsleri Rykacz.,Acianthera,amsleri,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera angustifolia (Lindl.) Luer,Acianthera,angustifolia,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera angustisepala (Ames &amp; Correll) Pridgeon &amp; M. W. Chase,Acianthera,angustisepala,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera antennata (Garay) Pridgeon &amp; M. W. Chase,Acianthera,antennata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera aphthosa (Lindl.) Pridgeon &amp; M. W. Chase,Acianthera,aphthosa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera appendiculata (Cogn.) A. Doucette,Acianthera,appendiculata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera asaroides (Kraenzl.) Pridgeon &amp; M. W. Chase,Acianthera,asaroides,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera atroglossa (Loefgr.) F. Barros &amp; L. R. S. Guim.,Acianthera,atroglossa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera atropurpurea (Barb. Rodr.) Chiron &amp; Van den Berg,Acianthera,atropurpurea,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera auriculata (Lindl.) Pridgeon &amp; M. W. Chase,Acianthera,auriculata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bahorucensis (Luer) A. Doucette,Acianthera,bahorucensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera berlinensis Damian,Acianthera,berlinensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera beyrodtiana (Kraenzl.) Karremans,Acianthera,beyrodtiana,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bibarbellata (Kraenzl.) F. Barros &amp; L. R. S. Guim.,Acianthera,bibarbellata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bicarinata (Lindl.) Pridgeon &amp; M. W. Chase,Acianthera,bicarinata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera biceps (Luer &amp; Hirtz) Luer,Acianthera,biceps,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bicornuta (Barb. Rodr.) Pridgeon &amp; M. W. Chase,Acianthera,bicornuta,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bidentata (Lindl.) F. Barros &amp; V. T. Rodrigues,Acianthera,bidentata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bidentula (Barb. Rodr.) Pridgeon &amp; M. W. Chase,Acianthera,bidentula,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bilobulata Zambrano &amp; Solano,Acianthera,bilobulata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera binotii (Regel) Pridgeon &amp; M. W. Chase,Acianthera,binotii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bissei (Luer) Luer,Acianthera,bissei,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera boliviana (Rchb.f.) Pridgeon &amp; M. W. Chase,Acianthera,boliviana,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera brachiloba (Hoehne) Pridgeon &amp; M. W. Chase,Acianthera,brachiloba,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bragae (Ruschi) F. Barros,Acianthera,bragae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera breedlovei Soto Arenas,Acianthera,breedlovei,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera breviflora (Lindl.) Luer,Acianthera,breviflora,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera brunnescens (Schltr.) Karremans,Acianthera,brunnescens,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera bryonii Luer,Acianthera,bryonii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera butcheri (L. O. Williams) Pridgeon &amp; M. W. Chase,Acianthera,butcheri,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cabiriae Pupulin,Acianthera,cabiriae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cachensis (Ames) Karremans,Acianthera,cachensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera caldensis (Hoehne &amp; Schltr.) F. Barros,Acianthera,caldensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera calopedilon Toscano &amp; Luer,Acianthera,calopedilon,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera calypso (Luer) Karremans &amp; Rinc.-Gonz&aacute;lez,Acianthera,calypso,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera capanemae (Barb. Rodr.) Pridgeon &amp; M. W. Chase,Acianthera,capanemae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera caparaoensis (Brade) Pridgeon &amp; M. W. Chase,Acianthera,caparaoensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera capillaris (Lindl.) Pridgeon &amp; M. W. Chase,Acianthera,capillaris,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera carcinopsis Luer &amp; Sijm,Acianthera,carcinopsis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera carinata (C. Schweinf.) Luer,Acianthera,carinata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera catujiensis Campacci &amp; C. R. M. Silva,Acianthera,catujiensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera caucanensis Uribe V&eacute;lez,Acianthera,caucanensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera caymanensis (C. D. Adams) Karremans,Acianthera,caymanensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cephalopodiglossa Toscano &amp; Luer,Acianthera,cephalopodiglossa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cerberus (Luer &amp; R. V&aacute;squez) Pridgeon &amp; M. W. Chase,Acianthera,cerberus,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera chamelopoda (Luer) Luer,Acianthera,chamelopoda,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera chionopa (Luer) Pridgeon &amp; M. W. Chase,Acianthera,chionopa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera chrysantha (Lindl.) Pridgeon &amp; M. W. Chase,Acianthera,chrysantha,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera ciliata (Knowles &amp; Westc.) F. Barros &amp; L. R. S. Guim.,Acianthera,ciliata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera circumplexa (Lindl.) Pridgeon &amp; M. W. Chase,Acianthera,circumplexa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cogniauxiana (Schltr.) Pridgeon &amp; M. W. Chase,Acianthera,cogniauxiana,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera compressicaulis (Dod) Pridgeon &amp; M. W. Chase,Acianthera,compressicaulis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera consatae (Luer &amp; R. V&aacute;squez) Luer,Acianthera,consatae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cordatifolia (Dod) Pridgeon &amp; M. W. Chase,Acianthera,cordatifolia,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cornejoi Luer,Acianthera,cornejoi,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera costabilis (Luer &amp; R. V&aacute;squez) Luer,Acianthera,costabilis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera costaricensis (Schltr.) Pupulin &amp; Karremans,Acianthera,costaricensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera crassilabia (Ames &amp; C. Schweinf.) Luer,Acianthera,crassilabia,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cremasta (Luer &amp; J. Portilla) Luer,Acianthera,cremasta,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera crepiniana (Cogn.) Chiron &amp; Van den Berg,Acianthera,crepiniana,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera crinita (Barb. Rodr.) Pridgeon &amp; M. W. Chase,Acianthera,crinita,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cryptantha (Barb. Rodr.) Pridgeon &amp; M. W. Chase,Acianthera,cryptantha,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cryptophoranthoides (Loefgr.) F. Barros,Acianthera,cryptophoranthoides,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera cymbiformis (Dod) Pridgeon &amp; M. W. Chase,Acianthera,cymbiformis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera decipiens (Ames &amp; C. Schweinf.) Pridgeon &amp; M. W. Chase,Acianthera,decipiens,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera decurrens (Poepp. &amp; Endl.) Pridgeon &amp; M. W. Chase,Acianthera,decurrens,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera denticulata (Cogn.) Karremans,Acianthera,denticulata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera deserta (Luer &amp; R. V&aacute;squez) Luer,Acianthera,deserta,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera dichroa (Rchb.f.) F. Barros &amp; L. R. S. Guim.,Acianthera,dichroa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera discophylla (Luer &amp; Carnevali) Luer,Acianthera,discophylla,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera dodsonii (Luer) Karremans &amp; Rinc.-Gonz&aacute;lez,Acianthera,dodsonii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera duartei (Hoehne) Pridgeon &amp; M. W. Chase,Acianthera,duartei,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera dubbeldamii Luer &amp; Sijm,Acianthera,dubbeldamii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera dutrae (Pabst) C. N. Gon&ccedil;. &amp; Waechter,Acianthera,dutrae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera echinocarpa (C. Schweinf.) A. Doucette,Acianthera,echinocarpa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera echinosa Luer &amp; Toscano,Acianthera,echinosa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera ellipsophylla (L. O. Williams) Pridgeon &amp; M. W. Chase,Acianthera,ellipsophylla,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera erebatensis (Carnevali &amp; Romero) Luer,Acianthera,erebatensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera ericae Luer,Acianthera,ericae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera erinacea (Rchb.f.) A. Doucette,Acianthera,erinacea,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera erosa (Urb.) A. Doucette,Acianthera,erosa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera erythrogramma (Luer &amp; Carnevali) Luer,Acianthera,erythrogramma,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera esmeraldae (Luer &amp; Hirtz) Luer,Acianthera,esmeraldae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera exarticulata (Barb. Rodr.) Pridgeon &amp; M. W. Chase,Acianthera,exarticulata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera exdrasii (Luer &amp; Toscano) Luer,Acianthera,exdrasii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera eximia (L. O. Williams) Solano,Acianthera,eximia,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera fabiobarrosii (Borba &amp; Semir) F. Barros &amp; F. Pinheiro,Acianthera,fabiobarrosii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera fecunda Pupulin,Acianthera,fecunda,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera fenestrata (Barb. Rodr.) Pridgeon &amp; M. W. Chase,Acianthera,fenestrata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera fernandezii Luer,Acianthera,fernandezii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera fockei (Lindl.) Pridgeon &amp; M. W. Chase,Acianthera,fockei,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera foetens (Lindl.) Chiron &amp; Van den Berg,Acianthera,foetens,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera fornograndensis L. Kollmann &amp; A. P. Fontana,Acianthera,fornograndensis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera freyi (Luer) F. Barros &amp; V. T. Rodrigues,Acianthera,freyi,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera fumioi (Hashim.) Luer,Acianthera,fumioi,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera garciae (Luer) Pridgeon &amp; M. W. Chase,Acianthera,garciae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera geminicaulina (Ames) Pridgeon &amp; M. W. Chase,Acianthera,geminicaulina,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera gigantea (Lindl.) A. Doucette,Acianthera,gigantea,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera glanduligera (Lindl.) Luer,Acianthera,glanduligera,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera glumacea (Lindl.) Pridgeon &amp; M. W. Chase,Acianthera,glumacea,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera gouveiae (A. Samp.) F. Barros &amp; L. R. S. Guim.,Acianthera,gouveiae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera gracilis (Barb. Rodr.) F. Barros &amp; L. R. S. Guim.,Acianthera,gracilis,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera gracilisepala (Brade) Luer,Acianthera,gracilisepala,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera gradeae Chiron &amp; Benelli,Acianthera,gradeae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera granitica (Luer &amp; G. A. Romero) Luer,Acianthera,granitica,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hagsateri O. P&eacute;rez,Acianthera,hagsateri,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hamata Pupulin &amp; G. A. Rojas,Acianthera,hamata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hartwegiifolia (H. Wendl. &amp; Kraenzl.) Solano &amp; Soto Arenas,Acianthera,hartwegiifolia,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hastulata (Rchb.f. &amp; Warm.) Karremans,Acianthera,hastulata,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hatakeyamae Campacci &amp; C. R. M. Silva,Acianthera,hatakeyamae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hatschbachii (Schltr.) Chiron &amp; Van den Berg,Acianthera,hatschbachii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera heliconioides (Luer) Pridgeon &amp; M. W. Chase,Acianthera,heliconioides,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera heliconiscapa (Hoehne) F. Barros,Acianthera,heliconiscapa,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera henrici (Schltr.) Luer,Acianthera,henrici,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera heringeri (Hoehne) F. Barros,Acianthera,heringeri,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera herrerae (Luer) Solano &amp; Soto Arenas,Acianthera,herrerae,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera herzogii (Schltr.) Baumbach,Acianthera,herzogii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera heteropetala (Luer) Pridgeon &amp; M. W. Chase,Acianthera,heteropetala,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hintonii (L. O. Williams) A. Doucette,Acianthera,hintonii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hirsutula (Fawc. &amp; Rendle) Pridgeon &amp; M. W. Chase,Acianthera,hirsutula,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hirtipes (Schltr.) Rojas-Alv. &amp; Karremans,Acianthera,hirtipes,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hirtzii (Luer) Karremans &amp; Rinc.-Gonz&aacute;lez,Acianthera,hirtzii,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
Acianthera hoffmannseggiana (Rchb.f.) F. Barros,Acianthera,hoffmannseggiana,,,,,,,,,,,,0,0,,Unknown | No date | Unknown observer | 
