id,taxonomy_id,display_name,scientific_name,genus,species,author,region,native_habitat,bloom_time,growth_habit,climate_preference,leaf_form,pseudobulb_presence,light_requirements,temperature_range,water_requirements,fertilizer_needs,cultural_notes,image_filename,image_url,google_drive_id,photographer,image_source,ocr_text,ai_description,ai_confidence,ai_extracted_metadata,ingestion_source,validation_status,is_featured,view_count,created_at,updated_at,user_id,rhs_registration_id,is_hybrid,is_species,grex_name,clone_name,pod_parent,pollen_parent,parentage_formula,generation,registration_date,registrant,rhs_verification_status,enhancement_data,pollinator_types,flowering_time,mycorrhizal_fungi,is_fragrant,photo_date,continent,climate_zone,phenotype_variations,morphological_traits,variation_analysis,mutation_indicators,phenotype_confidence,common_names,name_derivation,native_distribution,environmental_zones,leaf_shape,leaf_description,flower_description,plant_size,botanical_features,decimal_latitude,decimal_longitude,country,collector,event_date,data_source,state_province,locality,collection_number,gbif_id,source_url,is_flowering,flowering_stage,flower_count,inflorescence_count,flower_size_mm,flower_measurements,bloom_season_indicator,flowering_photo_date,flowering_photo_datetime,photo_gps_coordinates,camera_info,exif_data,growing_environment,substrate_type,mounting_evidence,natural_vs_cultivated,light_conditions,humidity_indicators,temperature_indicators,root_visibility,plant_maturity,setting_type,companion_plants,elevation_indicators,conservation_status_clues,identification_status,identification_votes,suggested_genus,suggested_species,gbif_occurrence_key,gbif_species_key,gbif_dataset_key,gbif_basis_of_record,gbif_license,gbif_occurrence_status,gbif_establishment_means,gbif_last_updated,inaturalist_observation_id,inaturalist_quality_grade,inaturalist_identifications_count,inaturalist_license_code,inaturalist_positional_accuracy,inaturalist_last_updated,external_images,external_media_count,external_image_licenses,external_image_credits,literature_references,cultivation_sources,reference_citations,conservation_papers,taxonomic_publications,horticultural_articles,nursery_recommendations,current_availability,price_range,purchase_links,seed_suppliers,tissue_culture_sources,specialty_vendors,care_guides,video_resources,forum_discussions,expert_advice,research_significance,conservation_status_details,habitat_research,pollination_studies,breeding_research,commercial_importance,propagation_difficulty,market_demand,seasonal_availability,import_restrictions,society_highlights,show_awards,notable_growers,community_notes,external_data_sources,eol_page_id,eol_traits,eol_common_names,eol_synonyms,eol_descriptions,eol_images,eol_last_updated
4616,,C Dowiana V Aurea Oldgold%20Copy,,Cattleya,Dowiana,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Cattleya_unifoliate/C_dowiana_v_aurea_oldgold%20copy.jpg?%20copy.jpg,,Ron Parsons,,,C Dowiana is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_photogallery,rejected,f,0,2025-08-25 00:36:38.163313,2025-09-08 01:17:01.071375,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4945,,C Mooreana,Cattleya Mooreana,Cattleya,Mooreana,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Cattleya_unifoliate/C_mooreana%20copy.jpg?%20copy.jpg,,Ron Parsons,,,C Mooreana is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_parallel,rejected,f,0,2025-08-25 00:58:40.589462,2025-09-08 01:17:01.071378,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,,C Iricolor,Cattleya Iricolor,Cattleya,Iricolor,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Cattleya_unifoliate/C_iricolor%20copy.jpg?%20copy.jpg,,Ron Parsons,,,C Iricolor is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_parallel,rejected,f,0,2025-08-25 00:58:39.682361,2025-09-08 01:17:01.071377,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4937,,C Walkeriana S Alba Hr,Cattleya Walkeriana S Alba Hr,Cattleya,Walkeriana,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Cattleya_Bifoliate/C_walkeriana_s_alba_hr%20copy.jpg?%20copy.jpg,,Ron Parsons,,,C Walkeriana is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_parallel,rejected,f,0,2025-08-25 00:58:39.81699,2025-09-08 01:17:01.071377,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,,Aeranthes crassifolia,,Aeranthes,crassifolia,,,,,,,,,,,,,,,,,Chris Howard,,,Collection specimen: Professional orchid photography by Chris Howard - clone 413,,,Five Cities Orchid Society Photo Archive,missing_photo,,,2025-09-06 02:41:54.415953,2025-09-06 02:41:54.415953,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,Photo Collection,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3663,,Neof falcata,Neof  falcata,Neof,falcata,,,,,epiphytic,,,,,,,,"From Roberta Fox's Vandaceous collection at orchidcentral.org
Image: http://orchidcentral.org/Images/Vandaceous/Species/2111T_Neof falcata.jpg
Photo © Roberta Fox - orchidcentral.org
Source: http://orchidcentral.org/WebPages/GroupVandaceous.html",,,,Roberta Fox,http://orchidcentral.org/Images/Vandaceous/Species/2111T_Neof falcata.jpg,,Neof falcata is a beautiful orchid with unique characteristics.,0.7,,roberta_fox_comprehensive,pending,f,0,2025-08-24 03:04:39.700138,2025-08-25 09:22:33.409678,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3511,,Ste purpurascens,Ste purpurascens,Ste,purpurascens,,,,,epiphytic,,,,,,,,"From Roberta Fox's Pleurothallids collection at orchidcentral.org
Image: http://orchidcentral.org/Images/Pleurothallids-Masdevallia-etc/Species/2662PT_Stelis purpurascens.jpg
Photo © Roberta Fox - orchidcentral.org
Source: http://orchidcentral.org/WebPages/GroupPleurothallids.html",,http://orchidcentral.org/Images/Pleurothallids-Masdevallia-etc/Species/2662P_Stelis purpurascens.jpg,,Roberta Fox,Roberta Fox - Pleurothallids,,Ste purpurascens is a beautiful orchid with unique characteristics.,0.7,,roberta_fox_comprehensive,pending,f,0,2025-08-24 03:04:29.954894,2025-08-25 09:22:33.409677,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5111,,Bulbophyllum spectabile,Bulbophyllum spectabile,Bulbophyllum,spectabile,,,,,epiphytic,,,,,,,,,,,,Demo Scraper B,,,Bulbophyllum spectabile is a beautiful orchid with unique characteristics.,0.7,,demo scraper b_demo,pending,f,0,2025-08-25 01:03:05.67538,2025-08-26 08:44:44.161452,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4474,,(Hooker) Rchb. f., ,(Hooker),Rchb.,,Brazil,,,,,,,,,,,,,,,Charles & Margaret Baker,,,"Professional culture sheet from Charles & Margaret Baker. Climate: Cool. Origin: Brazil. Detailed cultivation data available. Source: https://orchidculture.com/COD/FREE/FS1.html Climate: Cool. Temperature: 77-80°. Humidity: 75-80%. Cultivation: epiphyte, lithophyte, mount, bark, sphagnum.",,,baker_culture_sheets,rejected,f,0,2025-08-24 21:36:50.335614,2025-09-07 05:21:43.071651,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5112,,Bulbophyllum bellum,Bulbophyllum bellum,Bulbophyllum,bellum,,,,,epiphytic,,,,,,,,,,,,Demo Scraper A,,,Bulbophyllum bellum is a beautiful orchid with unique characteristics.,0.7,,demo scraper a_demo,pending,f,0,2025-08-25 01:03:05.942429,2025-08-26 08:44:44.161453,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5113,,Masdevallia compactum,Masdevallia compactum,Masdevallia,compactum,,,,,epiphytic,,,,,,,,,,,,Demo Scraper B,,,Masdevallia compactum is a beautiful orchid with unique characteristics.,0.7,,demo scraper b_demo,pending,f,0,2025-08-25 01:03:06.165825,2025-08-26 08:44:44.161453,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,,Mysticidium braeboniae,Mysticidium braeboniae,Mysticidium,braeboniae,"","","",,epiphytic,intermediate,,,"","",,,,,https://lh3.googleusercontent.com/d/1rnQWXkDS_Jk2mQeTQq73lVEq801Mu3il,1rnQWXkDS_Jk2mQeTQq73lVEq801Mu3il,Five Cities Orchid Society Collection,https://drive.google.com/file/d/1rnQWXkDS_Jk2mQeTQq73lVEq801Mu3il/view,,Mysticidium braeboniae is a beautiful orchid with unique characteristics.,0.7,,google_sheets_import,validated,t,0,2025-08-24 00:39:02.028054,2025-09-07 03:59:23.132626,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,,Cattleya,Cattleya ,Cattleya,species,Lindl.,Central and South America,Cloud forests and rainforest margins,Variable by species,epiphytic,intermediate,One or two thick leathery leaves,t,Bright light,16-27°C (61-81°F),"Regular watering when growing, less when dormant",,"Large flowers, fragrant. Good beginner orchid.",,https://lh3.googleusercontent.com/d/177q5dZIog0v4-HxDbs7huc3ENrWi-1Qs,177q5dZIog0v4-HxDbs7huc3ENrWi-1Qs,Five Cities Orchid Society Collection,https://drive.google.com/file/d/177q5dZIog0v4-HxDbs7huc3ENrWi-1Qs/view,,"Cattleya orchid known for its large, showy, often fragrant flowers. This  variety displays the characteristic beauty of the Cattleya genus.",0.7,,google_sheets_import,rejected,f,0,2025-08-24 00:39:03.90381,2025-09-08 04:30:04.646823,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,-14.24,-51.93,Brazil,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,needs_review,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4956,,C Warscewiczii,Cattleya Warscewiczii,Cattleya,Warscewiczii,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Cattleya_unifoliate/C_warscewiczii%20copy.jpg?%20copy.jpg,,Ron Parsons,,,C Warscewiczii is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_parallel,rejected,f,0,2025-08-25 00:58:41.634006,2025-09-08 01:17:01.071379,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,,Ctsm callosum hermaphrdite and male,Ctsm callosum hermaphrdite and male,Catasetum,callosum,,,,,epiphytic,,,,,,,,"From Roberta Fox's Catasetinae collection at orchidcentral.org
Image: http://orchidcentral.org/Images/Catasetinae and other Cymbidieae/Species/2223HMT_Ctsm callosum.jpg
Photo © Roberta Fox - orchidcentral.org
Source: http://orchidcentral.org/WebPages/GroupCatasetum.html",,http://orchidcentral.org/Images/Catasetinae and other Cymbidieae/Species/2223HM_Ctsm callosum.jpg,,Roberta Fox,Roberta Fox - Catasetinae,,Ctsm callosum is a beautiful orchid with unique characteristics.,0.7,,roberta_fox_comprehensive,pending,f,0,2025-08-24 03:03:00.025962,2025-08-25 09:20:17.373791,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4918,,C Dowiana V Aurea Oldgold,Cattleya Dowiana V Aurea Oldgold,Cattleya,Dowiana,,,,,epiphytic,,,,,,,,,,https://www.flowershots.net/web-content/Photogallery/Cattleya_unifoliate/C_dowiana_v_aurea_oldgold%20copy.jpg?%20copy.jpg,,Ron Parsons,,,C Dowiana is a beautiful orchid with unique characteristics.,0.7,,ron_parsons_parallel,rejected,f,0,2025-08-25 00:58:38.403519,2025-09-08 01:17:01.071376,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,,Cattleya,Cattleya ,Cattleya,species,Lindl.,Central and South America,Cloud forests and rainforest margins,Variable by species,epiphytic,intermediate,One or two thick leathery leaves,t,Bright light,16-27°C (61-81°F),"Regular watering when growing, less when dormant",,"Large flowers, fragrant. Good beginner orchid.",,https://lh3.googleusercontent.com/d/14a_2iEYAVwoc4Jkr8bfkkJiW8jrnvgIz,14a_2iEYAVwoc4Jkr8bfkkJiW8jrnvgIz,Five Cities Orchid Society Collection,https://drive.google.com/file/d/14a_2iEYAVwoc4Jkr8bfkkJiW8jrnvgIz/view,,"Cattleya orchid known for its large, showy, often fragrant flowers. This  variety displays the characteristic beauty of the Cattleya genus.",0.7,,google_sheets_import,rejected,f,0,2025-08-24 00:39:05.297298,2025-09-08 04:30:04.646828,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,-14.24,-51.93,Brazil,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,needs_review,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,,Trichocentrum,Trichocentrum ,Trichocentrum,species,"","","",,epiphytic,intermediate,,,"","",,,,,https://lh3.googleusercontent.com/d/1bTN2L99ITH7UTWpViOhkp0Q5fN1Bf4Wk,1bTN2L99ITH7UTWpViOhkp0Q5fN1Bf4Wk,Five Cities Orchid Society Collection,https://drive.google.com/file/d/1bTN2L99ITH7UTWpViOhkp0Q5fN1Bf4Wk/view,,Trichocentrum  is a beautiful orchid with unique characteristics.,0.7,,google_sheets_import,rejected,f,0,2025-08-24 00:39:00.271233,2025-09-07 20:47:57.428488,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,unidentified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6040,,BOLD:ADW6250 species,BOLD:ADW6250,BOLD:ADW6250,species,,South Africa,Site 2 - cultivated,,epiphytic,,,,,,,,GBIF ID: 4915924580 | Institution: Centre for Biodiversity Genomics | Basis: MATERIAL_SAMPLE | Common: ,,https://www.gbif.org/occurrence/4915924580,,,,,BOLD:ADW6250  is a beautiful orchid with unique characteristics.,0.7,,gbif,rejected,f,0,2025-08-25 20:37:38.906181,2025-09-08 22:29:32.865617,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,needs_review,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6043,,BOLD:ADS6695 species,BOLD:ADS6695,BOLD:ADS6695,species,,South Africa,Site 1 - cultivated,,epiphytic,,,,,,,,GBIF ID: 4915945647 | Institution: Centre for Biodiversity Genomics | Basis: MATERIAL_SAMPLE | Common: ,,https://www.gbif.org/occurrence/4915945647,,,,,BOLD:ADS6695  is a beautiful orchid with unique characteristics.,0.7,,gbif,rejected,f,0,2025-08-25 20:37:39.151541,2025-09-08 22:29:32.865617,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,needs_review,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6273,,Angraecum distichum,,Angraecum,distichum,,,,,,,,,,,,,,,,,Chris Howard,,,Collection specimen: Professional orchid photography by Chris Howard - clone 7,,,Five Cities Orchid Society Photo Archive,missing_photo,,,2025-09-06 02:41:54.415953,2025-09-06 02:41:54.415953,,,f,f,,,,,,,,,pending,,,,,f,,,,,,,,,,,,,,,,,,,,,,,Photo Collection,,,,,,f,,0,0,,,,,,,,,,,,,,,,,,,,,,verified,0,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
