id,scientific_name,genus,species,author,family,common_names,country,elevation_meters,observation_date
807,Cyrtosia falconeri (Hook.f.) Aver.,Cyrtosia,falconeri Hook.f.,,,,,,
872,Cypripedium lichiangense P. J. Cribb & S. C. Chen,Cypripedium,lichiangense P.,,,,,,
7905,Cattleya aurantiaca,Cattleya,aurantiaca,(Bateman ex Lindl.) P.N.Don,,Orange Cattleya,,,
631,Epistephium parviflorum Lindl.,Epistephium,parviflorum Lindl.,,,,,,
1086,Paphiopedilum villosum (Lindl.) Stein,Paphiopedilum,villosum Lindl.,,,,,,
918,Phragmipedium boissierianum (Rchb.f. & Warsz.) Rolfe var. czerwiakowianum (Rchb.f. & Warsz.) O. Gruss,Phragmipedium,boissierianum Rchb.f.,,,,,,
7908,Cattleya species,Cattleya,species,"",,Cattleya species,,,
970,Paphiopedilum bellatulum (Rchb.f.) Stein,Paphiopedilum,bellatulum Rchb.f.,,,,,,
982,Paphiopedilum concolor (Bateman) Pfitzer var. chlorophyllum (Rchb.f.) Pfitzer,Paphiopedilum,concolor Bateman,,,,,,
1088,Paphiopedilum villosum (Lindl.) Stein var. boxallii (Rchb.f.) Pfitzer,Paphiopedilum,villosum Lindl.,,,,,,
1090,Paphiopedilum villosum (Lindl.) Stein var. laichaunum N. S. Hai & N. H. Tuan,Paphiopedilum,villosum Lindl.,,,,,,
1110,Paphiopedilum x expansum J. T. Atwood,Paphiopedilum,x expansum,,,,,,
7912,Dendrobium nobile,Dendrobium,nobile,Lindl.,,Noble Dendrobium,,,
29370,Sanderella Kuntze,Sanderella,"","",,"",,,
564,Cleistes batistana Pansarin & F. Barros,Cleistes,batistana Pansarin,,,,,,
590,Cleistes parviflora Lindl.,Cleistes,parviflora Lindl.,,,,,,
654,Lecanorchis kiusiana Tuyama,Lecanorchis,kiusiana Tuyama,,,,,,
751,Vanilla labellopapillata A. K. Koch,Vanilla,labellopapillata A.,,,,,,
803,Vanilla wariensis Schltr.,Vanilla,wariensis Schltr.,,,,,,
810,Cyrtosia lindleyana Hook.f. & Thomson,Cyrtosia,lindleyana Hook.f.,,,,,,
996,Paphiopedilum glanduliferum (Blume) Stein,Paphiopedilum,glanduliferum Blume,,,,,,
1121,Paphiopedilum x mittrachianum O. Gruss,Paphiopedilum,x mittrachianum,,,,,,
1132,Paphiopedilum x sinovillosum Z. J. Liu & S. C. Chen,Paphiopedilum,x sinovillosum,,,,,,
7924,Cymbidium goeringii,Cymbidium,goeringii,(Rchb.f.) Rchb.f.,,Noble Cymbidium,,,
7907,Cattleya intermedia,Cattleya,intermedia,Graham,,Intermediate Cattleya,,,
31389,Lycomormium Rchb.f.,Lycomormium,"","",,"",,,
7782,Cranichis cucullata Schltr.,Cranichis,cucullata Schltr.,,,,,,
29897,Maxillaria furfuracea Scheidw.,Maxillaria,furfuracea,"",,"",,,
17319,Dendrobium elineae (Calaramo,Dendrobium,elineae,"",,"",,,
32762,Epidendrum kuelapense (Szlach. &amp; Mytnik) J. M. H. Shaw,Epidendrum,kuelapense,"",,"",,,
19044,Bulbophyllum dschischungarense Schltr.,Bulbophyllum,dschischungarense,"",,"",,,
33353,Epidendrum pustulosum Rinc.-Gonz&aacute;lez,Epidendrum,pustulosum,"",,"",,,
17118,Dendrobium caudiculatum (M. A. Clem. &amp; D. L. Jones) Schuit. &amp; de Vogel,Dendrobium,caudiculatum,"",,"",,,
20551,Bulbophyllum veldkampii J. J. Verm. &amp; P. O'Byrne,Bulbophyllum,veldkampii,"",,"",,,
17853,Dendrobium obcuneatum F. M. Bailey,Dendrobium,obcuneatum,"",,"",,,
20266,Bulbophyllum sensile Ames,Bulbophyllum,sensile,"",,"",,,
19231,Bulbophyllum goliathense J. J. Sm.,Bulbophyllum,goliathense,"",,"",,,
19480,Bulbophyllum latibrachiatum J. J. Sm.,Bulbophyllum,latibrachiatum,"",,"",,,
20418,Bulbophyllum tenuislinguae T. P. Lin &amp; Shu H. Wu,Bulbophyllum,tenuislinguae,"",,"",,,
30272,Maxillaria tiaraensis Carnevali &amp; G. A. Romero,Maxillaria,tiaraensis,"",,"",,,
32907,Epidendrum maroniense H&aacute;gsater &amp; E. Santiago,Epidendrum,maroniense,"",,"",,,
30135,Maxillaria poicilothece Schltr.,Maxillaria,poicilothece,"",,"",,,
33735,Epidendrum villenae H&aacute;gsater &amp; E. Santiago,Epidendrum,villenae,"",,"",,,
32240,Epidendrum chirripoense H&aacute;gsater,Epidendrum,chirripoense,"",,"",,,
19478,Bulbophyllum lasioglossum Rolfe ex Ames,Bulbophyllum,lasioglossum,"",,"",,,
17697,Dendrobium longipedicellatum de Vogel,Dendrobium,longipedicellatum,"",,"",,,
39752,Pleurothallis ankyloglossa Luer &amp; Hirtz,Pleurothallis,ankyloglossa,"",,"",,,
575,Cleistes idroboi Szlach. & Baranow,Cleistes,idroboi Szlach.,,,,,,
656,Lecanorchis malaccensis Ridl.,Lecanorchis,malaccensis Ridl.,,,,,,
753,Vanilla madagascariensis Rolfe,Vanilla,madagascariensis Rolfe,,,,,,
811,Cyrtosia nana (Rolfe ex Downie) Garay,Cyrtosia,nana Rolfe,,,,,,
1034,Paphiopedilum niveum (Rchb.f.) Stein,Paphiopedilum,niveum Rchb.f.,,,,,,
1051,Paphiopedilum rothschildianum (Rchb.f.) Stein,Paphiopedilum,rothschildianum Rchb.f.,,,,,,
25309,Aerides maculosa Lindl.,Aerides,maculosa,"",,"",,,
30113,Maxillaria pergracilis (Schltr.) Schuit. &amp; M. W. Chase,Maxillaria,pergracilis,"",,"",,,
17498,Dendrobium hocklengii P. T. Ong,Dendrobium,hocklengii,"",,"",,,
19697,Bulbophyllum microtes Schltr.,Bulbophyllum,microtes,"",,"",,,
18693,Bulbophyllum bolivianum Schltr.,Bulbophyllum,bolivianum,"",,"",,,
40225,Pleurothallis somnolenta Luer,Pleurothallis,somnolenta,"",,"",,,
33793,Epidendrum xelidonourum H&aacute;gsater &amp; H. Medina,Epidendrum,xelidonourum,"",,"",,,
18853,Bulbophyllum clipeibulbum J. J. Verm.,Bulbophyllum,clipeibulbum,"",,"",,,
19188,Bulbophyllum furcillatum J. J. Verm. &amp; P. O'Byrne,Bulbophyllum,furcillatum,"",,"",,,
40022,Pleurothallis litotes Luer,Pleurothallis,litotes,"",,"",,,
17065,Dendrobium brevimentum Seidenf.,Dendrobium,brevimentum,"",,"",,,
18388,Dendrobium vanhulstijnii J. J. Sm.,Dendrobium,vanhulstijnii,"",,"",,,
32233,Epidendrum chimalapense H&aacute;gsater &amp; Salazar,Epidendrum,chimalapense,"",,"",,,
28499,Oncidium manningianum K&ouml;niger,Oncidium,manningianum,"",,"",,,
30174,Maxillaria ramosissima Kraenzl.,Maxillaria,ramosissima,"",,"",,,
33612,Epidendrum tambillense H&aacute;gsater,Epidendrum,tambillense,"",,"",,,
33346,Epidendrum puninnocturnum H&aacute;gsater &amp; J. Duarte,Epidendrum,puninnocturnum,"",,"",,,
18463,Dendrobium xanthoacron Schltr.,Dendrobium,xanthoacron,"",,"",,,
29709,Maxillaria appendiculoides C. Schweinf.,Maxillaria,appendiculoides,"",,"",,,
20015,Bulbophyllum polyblepharon Schltr.,Bulbophyllum,polyblepharon,"",,"",,,
19650,Bulbophyllum mastersianum (Rolfe) J. J. Sm.,Bulbophyllum,mastersianum,"",,"",,,
40200,Pleurothallis scabrilinguis Lindl.,Pleurothallis,scabrilinguis,"",,"",,,
33007,Epidendrum moralesii H&aacute;gsater,Epidendrum,moralesii,"",,"",,,
18088,Dendrobium rhipidolobum Schltr.,Dendrobium,rhipidolobum,"",,"",,,
33116,Epidendrum orientale H&aacute;gsater &amp; M. A. D&iacute;az,Epidendrum,orientale,"",,"",,,
33496,Epidendrum septipartitum H&aacute;gsater,Epidendrum,septipartitum,"",,"",,,
33449,Epidendrum salpichlamys H&aacute;gsater &amp; E. Santiago,Epidendrum,salpichlamys,"",,"",,,
18588,Bulbophyllum arcaniflorum Ridl.,Bulbophyllum,arcaniflorum,"",,"",,,
33535,Epidendrum spasmosum H&aacute;gsater &amp; Dodson,Epidendrum,spasmosum,"",,"",,,
18618,Bulbophyllum atroviride J. J. Verm.,Bulbophyllum,atroviride,"",,"",,,
17286,Dendrobium diaphanum Schltr.,Dendrobium,diaphanum,"",,"",,,
660,Lecanorchis multiflora J. J. Sm. var. bihuensis (T. P. Lin & Shu H. Wu) T. P. Lin,Lecanorchis,multiflora J.,,,,,,
17993,Dendrobium polyphyllum Schltr.,Dendrobium,polyphyllum,"",,"",,,
771,Vanilla phaeantha Rchb.f.,Vanilla,phaeantha Rchb.f.,,,,,,
816,Galeola faberi Rolfe,Galeola,faberi Rolfe,,,,,,
18657,Bulbophyllum beccarii Rchb.f.,Bulbophyllum,beccarii,"",,"",,,
40085,Pleurothallis neorinkei A. Doucette,Pleurothallis,neorinkei,"",,"",,,
1545,Satyrium ligulatum Lindl.,Satyrium,ligulatum Lindl.,,,,,,
19804,Bulbophyllum novae-hiberniae Schltr.,Bulbophyllum,novae-hiberniae,"",,"",,,
17609,Dendrobium klabatense Schltr.,Dendrobium,klabatense,"",,"",,,
17652,Dendrobium latoureoides (Schltr.) J. J. Sm.,Dendrobium,latoureoides,"",,"",,,
33603,Epidendrum syringodes Schltr.,Epidendrum,syringodes,"",,"",,,
25436,Vanda x moorei Rolfe,Vanda,x,"",,"",,,
32159,Epidendrum calyptratoides H&aacute;gsater &amp; Dodson,Epidendrum,calyptratoides,"",,"",,,
25427,Vanda x charlesworthii Rolfe,Vanda,x,"",,"",,,
32479,Epidendrum euspathum Kraenzl.,Epidendrum,euspathum,"",,"",,,
29785,Maxillaria chimalapana Soto Arenas &amp; Salazar,Maxillaria,chimalapana,"",,"",,,
17716,Dendrobium macrifolium J. J. Sm.,Dendrobium,macrifolium,"",,"",,,
31980,Epidendrum andinum Carnevali &amp; G. A. Romero,Epidendrum,andinum,"",,"",,,
29840,Maxillaria disticha (Lindl.) C. Schweinf.,Maxillaria,disticha,"",,"",,,
32487,Epidendrum exiguum Ames &amp; C. Schweinf.,Epidendrum,exiguum,"",,"",,,
30239,Maxillaria spilotantha Rchb.f.,Maxillaria,spilotantha,"",,"",,,
17018,Dendrobium barbatum Breda,Dendrobium,barbatum,"",,"",,,
33796,Epidendrum xylostachyum Lindl.,Epidendrum,xylostachyum,"",,"",,,
19758,Bulbophyllum najae J. J. Verm.,Bulbophyllum,najae,"",,"",,,
605,Cleistes unifoliata (C. Schweinf.) Carnevali & I. Ramírez,Cleistes,unifoliata C.,,,,,,
676,Lecanorchis vietnamica Aver.,Lecanorchis,vietnamica Aver.,,,,,,
18079,Dendrobium regium Prain,Dendrobium,regium,"",,"",,,
17313,Dendrobium eboracense Kraenzl.,Dendrobium,eboracense,"",,"",,,
28323,Oncidium altissimum (Jacq.) Sw.,Oncidium,altissimum,"",,"",,,
18778,Bulbophyllum cariniflorum Rchb.f.,Bulbophyllum,cariniflorum,"",,"",,,
25404,Vanda miniata (Lindl.) L. M. Gardiner,Vanda,miniata,"",,"",,,
19428,Bulbophyllum kelelense Schltr.,Bulbophyllum,kelelense,"",,"",,,
33037,Epidendrum narinense H&aacute;gsater,Epidendrum,narinense,"",,"",,,
20053,Bulbophyllum ptiloglossum H. Wendl. &amp; Kraenzl.,Bulbophyllum,ptiloglossum,"",,"",,,
20569,Bulbophyllum violaceolabellum Seidenf.,Bulbophyllum,violaceolabellum,"",,"",,,
31986,Epidendrum angeloglossum H&aacute;gsater &amp; Dodson,Epidendrum,angeloglossum,"",,"",,,
17145,Dendrobium chrysotainium Schltr.,Dendrobium,chrysotainium,"",,"",,,
19247,Bulbophyllum graveolens (F. M. Bailey) J. J. Sm.,Bulbophyllum,graveolens,"",,"",,,
34305,Cattleya guaicuhyensis (Rosim) Van den Berg,Cattleya,guaicuhyensis,"",,"",,,
17933,Dendrobium patentissimum J. J. Sm.,Dendrobium,patentissimum,"",,"",,,
28597,Oncidium sessile Lindl. &amp; Paxton,Oncidium,sessile,"",,"",,,
18924,Bulbophyllum cruciatum J. J. Sm.,Bulbophyllum,cruciatum,"",,"",,,
608,Cleistes violascens Campacci,Cleistes,violascens Campacci,,,,,,
19661,Bulbophyllum medusae (Lindl.) Rchb.f.,Bulbophyllum,medusae,"",,"",,,
18225,Dendrobium spurium (Blume) J. J. Sm,Dendrobium,spurium,"",,"",,,
614,Epistephium araracuarae Szlach.,Epistephium,araracuarae Szlach.,,,,,,
18119,Dendrobium rugosum (Blume) Lindl.,Dendrobium,rugosum,"",,"",,,
19292,Bulbophyllum hemisterranthum J. J. Verm. &amp; P. O'Byrne,Bulbophyllum,hemisterranthum,"",,"",,,
20311,Bulbophyllum solangeanum Campacci,Bulbophyllum,solangeanum,"",,"",,,
17350,Dendrobium eximium Schltr.,Dendrobium,eximium,"",,"",,,
33604,Epidendrum syringothyrsis Rchb.f. ex Hook.f.,Epidendrum,syringothyrsis,"",,"",,,
19901,Bulbophyllum papillatum J. J. Sm.,Bulbophyllum,papillatum,"",,"",,,
32564,Epidendrum geniculatum Barb. Rodr.,Epidendrum,geniculatum,"",,"",,,
20369,Bulbophyllum suavissimum Rolfe,Bulbophyllum,suavissimum,"",,"",,,
29957,Maxillaria janiceae Christenson,Maxillaria,janiceae,"",,"",,,
25350,Vanda bidupensis Aver. &amp; Christenson,Vanda,bidupensis,"",,"",,,
18769,Bulbophyllum capitatum (Blume) Lindl.,Bulbophyllum,capitatum,"",,"",,,
19091,Bulbophyllum erioides Schltr.,Bulbophyllum,erioides,"",,"",,,
40123,Pleurothallis penicillata Luer,Pleurothallis,penicillata,"",,"",,,
20075,Bulbophyllum purpureorhachis (De Wild.) Schltr.,Bulbophyllum,purpureorhachis,"",,"",,,
28430,Oncidium hagsaterianum R. Jim&eacute;nez &amp; Soto Arenas,Oncidium,hagsaterianum,"",,"",,,
39906,Pleurothallis dukei Luer,Pleurothallis,dukei,"",,"",,,
28374,Oncidium colombianum (Szlach. &amp; Kolan.) J. M. H. Shaw,Oncidium,colombianum,"",,"",,,
29754,Maxillaria broadwayi (Cogn.) R. E. Schult.,Maxillaria,broadwayi,"",,"",,,
20290,Bulbophyllum silentvalliensis M. P. Sharma &amp; S. K. Srivast.,Bulbophyllum,silentvalliensis,"",,"",,,
32859,Epidendrum lutescens H&aacute;gsater,Epidendrum,lutescens,"",,"",,,
33368,Epidendrum rahuii H&aacute;gsater,Epidendrum,rahuii,"",,"",,,
18028,Dendrobium pseudolamellatum J. J. Wood &amp; A. Lamb,Dendrobium,pseudolamellatum,"",,"",,,
39871,Pleurothallis culpameae (Luer) J. M. H. Shaw,Pleurothallis,culpameae,"",,"",,,
19435,Bulbophyllum kermesinostriatum (J. J. Sm.) J. J. Verm.,Bulbophyllum,kermesinostriatum,"",,"",,,
40001,Pleurothallis kashi-menkakarai Mashendo-Jimb.,Pleurothallis,kashi-menkakarai,"",,"",,,
32032,Epidendrum astetei H&aacute;gsater,Epidendrum,astetei,"",,"",,,
33501,Epidendrum sertorum Garay &amp; Dunst.,Epidendrum,sertorum,"",,"",,,
19949,Bulbophyllum perpendiculare Schltr.,Bulbophyllum,perpendiculare,"",,"",,,
32587,Epidendrum grammipetalostachyum H&aacute;gsater &amp; E. Santiago,Epidendrum,grammipetalostachyum,"",,"",,,
20272,Bulbophyllum serripetalum Schltr.,Bulbophyllum,serripetalum,"",,"",,,
18967,Bulbophyllum dearei W. Watson,Bulbophyllum,dearei,"",,"",,,
40168,Pleurothallis renieana (Luer &amp; Sijm) J. M. H. Shaw,Pleurothallis,renieana,"",,"",,,
20368,Bulbophyllum stylocoryphe J. J. Verm. &amp; P. O'Byrne,Bulbophyllum,stylocoryphe,"",,"",,,
17912,Dendrobium papilioniferum J. J. Sm.,Dendrobium,papilioniferum,"",,"",,,
32572,Epidendrum gloria-imperatrix H&aacute;gsater &amp; G. Calat.,Epidendrum,gloria-imperatrix,"",,"",,,
19037,Bulbophyllum drepananthum J. J. Verm.,Bulbophyllum,drepananthum,"",,"",,,
17865,Dendrobium ochroleucum Teijsm. &amp; Binn.,Dendrobium,ochroleucum,"",,"",,,
19548,Bulbophyllum liparidioides Schltr.,Bulbophyllum,liparidioides,"",,"",,,
34484,Cattleya x sancheziana Hoehne,Cattleya,x,"",,"",,,
40280,Pleurothallis tuzae Luer,Pleurothallis,tuzae,"",,"",,,
19107,Bulbophyllum exasperatum Schltr.,Bulbophyllum,exasperatum,"",,"",,,
34415,Cattleya x cullenii U. B. Deshmukh &amp; J. M. H. Shaw,Cattleya,x,"",,"",,,
20123,Bulbophyllum renipetalum Schltr.,Bulbophyllum,renipetalum,"",,"",,,
34476,Cattleya x paulae E. L. F. Menezes &amp; J. V. Corr&eacute;a,Cattleya,x,"",,"",,,
32262,Epidendrum ciliipetalum (Garay) H&aacute;gsater &amp; E. Santiago,Epidendrum,ciliipetalum,"",,"",,,
40284,Pleurothallis upanoensis Luer &amp; Hirtz,Pleurothallis,upanoensis,"",,"",,,
16969,Dendrobium arachnoideum Schltr.,Dendrobium,arachnoideum,"",,"",,,
40307,Pleurothallis xipochila Rchb.f.,Pleurothallis,xipochila,"",,"",,,
18392,Dendrobium vannouhuysii J. J. Sm.,Dendrobium,vannouhuysii,"",,"",,,
19007,Bulbophyllum dichromum Rolfe,Bulbophyllum,dichromum,"",,"",,,
26650,Cymbidium atrolabium X. Y. Liao,Cymbidium,atrolabium,"",,"",,,
33744,Epidendrum viridiflavum H&aacute;gsater &amp; J. D. Medina,Epidendrum,viridiflavum,"",,"",,,
32213,Epidendrum centronum H&aacute;gsater &amp; Dodson,Epidendrum,centronum,"",,"",,,
20556,Bulbophyllum verrucosum (L. O. Williams) J. J. Verm.,Bulbophyllum,verrucosum,"",,"",,,
18899,Bulbophyllum cophocropion J. J. Verm. &amp; Schuit.,Bulbophyllum,cophocropion,"",,"",,,
20485,Bulbophyllum trigonobulbum Schltr. &amp; J. J. Sm.,Bulbophyllum,trigonobulbum,"",,"",,,
32446,Epidendrum eduardo-perezii H&aacute;gsater &amp; E. Santiago,Epidendrum,eduardo-perezii,"",,"",,,
29882,Maxillaria foldatsiana Carnevali &amp; I. Ram&iacute;rez,Maxillaria,foldatsiana,"",,"",,,
19401,Bulbophyllum japrii Cavestro,Bulbophyllum,japrii,"",,"",,,
20170,Bulbophyllum rubrigemmum Hermans,Bulbophyllum,rubrigemmum,"",,"",,,
34372,Cattleya rex O'Brien,Cattleya,rex,"",,"",,,
14424,Aa figueroi Szlach. &amp; S. Nowak,Aa,figueroi,"",,"",,,
18649,Bulbophyllum barbigerum Lindl.,Bulbophyllum,barbigerum,"",,"",,,
40065,Pleurothallis membracidoides Luer,Pleurothallis,membracidoides,"",,"",,,
17525,Dendrobium igneum J. J. Sm.,Dendrobium,igneum,"",,"",,,
29969,Maxillaria kolanowskae R. Kr. Singh,Maxillaria,kolanowskae,"",,"",,,
40047,Pleurothallis mammillata Luer,Pleurothallis,mammillata,"",,"",,,
32656,Epidendrum huamantuparum H&aacute;gsater &amp; E. Santiago,Epidendrum,huamantuparum,"",,"",,,
19893,Bulbophyllum pallidum Seidenf.,Bulbophyllum,pallidum,"",,"",,,
33655,Epidendrum trapeziinocturnum Bar.-Colm. &amp; H&aacute;gsater,Epidendrum,trapeziinocturnum,"",,"",,,
32611,Epidendrum haenkeanum C. Presl,Epidendrum,haenkeanum,"",,"",,,
28546,Oncidium peltiforme K&ouml;niger,Oncidium,peltiforme,"",,"",,,
20430,Bulbophyllum theioglossum Schltr.,Bulbophyllum,theioglossum,"",,"",,,
26660,Cymbidium codonanthum Yuting Jiang,Cymbidium,codonanthum,"",,"",,,
18455,Dendrobium x suffusum Cady,Dendrobium,x,"",,"",,,
34477,Cattleya x peregrine Sander,Cattleya,x,"",,"",,,
32785,Epidendrum lasiostachyum Rodr.-Mart.,Epidendrum,lasiostachyum,"",,"",,,
39933,Pleurothallis furcifera Luer,Pleurothallis,furcifera,"",,"",,,
30132,Maxillaria plicata Schltr.,Maxillaria,plicata,"",,"",,,
17822,Dendrobium nazaretii (P. O'Byrne &amp; J. J. Verm.) Schuit. &amp; Peter B. Adams,Dendrobium,nazaretii,"",,"",,,
20229,Bulbophyllum scaphioglossum J. J. Verm. &amp; Rysy,Bulbophyllum,scaphioglossum,"",,"",,,
17122,Dendrobium centrosepalum Schuit. et al.,Dendrobium,centrosepalum,"",,"",,,
19421,Bulbophyllum kapitense J. J. Verm.,Bulbophyllum,kapitense,"",,"",,,
17009,Dendrobium balzerianum Fessel &amp; L&uuml;ckel,Dendrobium,balzerianum,"",,"",,,
32939,Epidendrum mesocarpum H&aacute;gsater,Epidendrum,mesocarpum,"",,"",,,
33819,Epidendrum zosterifolium F. Lehm. &amp; Kraenzl.,Epidendrum,zosterifolium,"",,"",,,
32696,Epidendrum infaustum Rchb.f.,Epidendrum,infaustum,"",,"",,,
28684,Oncidium x rolfei J. M. H. Shaw,Oncidium,x,"",,"",,,
30250,Maxillaria striolata D. E. Benn. &amp; Christenson,Maxillaria,striolata,"",,"",,,
32993,Epidendrum monicarmasiae Cornejo &amp; H&aacute;gsater,Epidendrum,monicarmasiae,"",,"",,,
20201,Bulbophyllum sandrangatense Bosser,Bulbophyllum,sandrangatense,"",,"",,,
19116,Bulbophyllum falcatum (Lindl.) Rchb.f.,Bulbophyllum,falcatum,"",,"",,,
17685,Dendrobium lobulatum Rolfe ex J. J. Sm.,Dendrobium,lobulatum,"",,"",,,
25500,Phalaenopsis hygrochila J. M. H. Shaw,Phalaenopsis,hygrochila,"",,"",,,
34430,Cattleya x fidelensis (Pabst) Van den Berg,Cattleya,x,"",,"",,,
17431,Dendrobium gnomus Ames,Dendrobium,gnomus,"",,"",,,
17591,Dendrobium keithii Ridl.,Dendrobium,keithii,"",,"",,,
29753,Maxillaria brigittheae Molinari,Maxillaria,brigittheae,"",,"",,,
18222,Dendrobium sphenochilum F. Muell. &amp; Kraenzl. ex Kraenzl.,Dendrobium,sphenochilum,"",,"",,,
30156,Maxillaria pterocarpa Barb. Rodr.,Maxillaria,pterocarpa,"",,"",,,
18619,Bulbophyllum attenuatum Rolfe,Bulbophyllum,attenuatum,"",,"",,,
19383,Bulbophyllum inversum Schltr.,Bulbophyllum,inversum,"",,"",,,
20365,Bulbophyllum striatulum Aver.,Bulbophyllum,striatulum,"",,"",,,
18744,Bulbophyllum caldericola G. F. Walsh,Bulbophyllum,caldericola,"",,"",,,
19892,Bulbophyllum pallidulum J. J. Verm.,Bulbophyllum,pallidulum,"",,"",,,
30233,Maxillaria soconuscana Breedlove &amp; Mally,Maxillaria,soconuscana,"",,"",,,
34448,Cattleya x jetibaensis (V. P. Castro &amp; G. F. Carr) Van den Berg,Cattleya,x,"",,"",,,
19402,Bulbophyllum jayi J. J. Verm. &amp; A. Lamb,Bulbophyllum,jayi,"",,"",,,
33387,Epidendrum repaskyae H&aacute;gsater,Epidendrum,repaskyae,"",,"",,,
28377,Oncidium coquianum Pupulin &amp; Dalstr&ouml;m,Oncidium,coquianum,"",,"",,,
18312,Dendrobium tetrapterum M. Z. Huang,Dendrobium,tetrapterum,"",,"",,,
19660,Bulbophyllum medioximum J. J. Verm.,Bulbophyllum,medioximum,"",,"",,,
33305,Epidendrum presbyteri-ludgeronis Gomes Ferreira,Epidendrum,presbyteri-ludgeronis,"",,"",,,
18568,Bulbophyllum anodon J. J. Verm.,Bulbophyllum,anodon,"",,"",,,
34494,Cattleya x victoriacarolinae (Campacci &amp; C. R. Espejo) J. M. H. Shaw,Cattleya,x,"",,"",,,
30154,Maxillaria pseudopicta Rysy &amp; Baumbach,Maxillaria,pseudopicta,"",,"",,,
18646,Bulbophyllum barbasapientis J. J. Verm. &amp; P. O'Byrne,Bulbophyllum,barbasapientis,"",,"",,,
19477,Bulbophyllum lasiogaster J. J. Verm. &amp; P. O'Byrne,Bulbophyllum,lasiogaster,"",,"",,,
18828,Bulbophyllum chrysotes Schltr.,Bulbophyllum,chrysotes,"",,"",,,
28562,Oncidium portillaellum M. W. Chase &amp; N. H. Williams,Oncidium,portillaellum,"",,"",,,
20293,Bulbophyllum simii J. J. Verm. &amp; A. Lamb,Bulbophyllum,simii,"",,"",,,
28598,Oncidium silvanoi K&ouml;niger,Oncidium,silvanoi,"",,"",,,
39971,Pleurothallis hispidula (Luer &amp; R. Escobar) J. M. H. Shaw,Pleurothallis,hispidula,"",,"",,,
32093,Epidendrum bitriangulare Sierra-Ariza,Epidendrum,bitriangulare,"",,"",,,
18814,Bulbophyllum chinense (Lindl.) Rchb.f.,Bulbophyllum,chinense,"",,"",,,
32677,Epidendrum igneum H&aacute;gsater,Epidendrum,igneum,"",,"",,,
32158,Epidendrum calyptrandrium H&aacute;gsater,Epidendrum,calyptrandrium,"",,"",,,
531,Neuwiedia malipoensis Z. J. Liu,Neuwiedia,malipoensis Z.,,,,,,
29941,Maxillaria horichii Senghas,Maxillaria,horichii,"",,"",,,
19785,Bulbophyllum newportii (F. M. Bailey) Rolfe,Bulbophyllum,newportii,"",,"",,,
8195,Vanilla ochyrae Szlach. &amp; Olszewski,Vanilla,ochyrae,"",,"",,,
25407,Vanda perplexa Motes &amp; D. L. Roberts,Vanda,perplexa,"",,"",,,
32730,Epidendrum jativae Dodson,Epidendrum,jativae,"",,"",,,
39759,Pleurothallis applanata Luer &amp; Dalstr&ouml;m,Pleurothallis,applanata,"",,"",,,
20501,Bulbophyllum trongquyetii Vuong,Bulbophyllum,trongquyetii,"",,"",,,
32302,Epidendrum condorense H&aacute;gsater &amp; Dodson,Epidendrum,condorense,"",,"",,,
18193,Dendrobium simplex J. J. Sm.,Dendrobium,simplex,"",,"",,,
